 # Once                                                             FEFF 9.9.1
 # POT  SCF 100 10.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=29 Rmt= 1.406 Rnm= 1.457 K  shell
 # Pot 1 Z=29 Rmt= 1.317 Rnm= 1.353
 # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-8.226E+00eV kf=2.060E+00 Vint=-1.835E+01eV Rs_int= 1.760
 # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   19      icalc       2
 -----------------------------------------------------------------------
   3  48.000   5.7709    2.5596   -8.22632 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -5.2650   -1.7550   -0.0000  1  29 Cu    
    -3.5100   -0.0000   -0.0000  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.7430E+00  0.0000E+00 -5.9200E+00  9.724E-01  1.4380E+01  1.6316E+00
  0.100  3.7442E+00  7.6189E-03 -7.0403E+00  9.726E-01  1.4405E+01  1.6345E+00
  0.200  3.7476E+00  1.4873E-02 -8.0934E+00  9.734E-01  1.4481E+01  1.6433E+00
  0.300  3.7532E+00  2.1473E-02 -9.0815E+00  9.746E-01  1.4603E+01  1.6578E+00
  0.400  3.7605E+00  2.7256E-02 -1.0007E+01  9.763E-01  1.4763E+01  1.6779E+00
  0.500  3.7691E+00  3.2191E-02 -1.0875E+01  9.784E-01  1.4952E+01  1.7034E+00
  0.600  3.7786E+00  3.6351E-02 -1.1687E+01  9.809E-01  1.5158E+01  1.7340E+00
  0.700  3.7884E+00  3.9872E-02 -1.2447E+01  9.838E-01  1.5368E+01  1.7697E+00
  0.800  3.7977E+00  4.2904E-02 -1.3159E+01  9.871E-01  1.5564E+01  1.8100E+00
  0.900  3.8059E+00  4.5596E-02 -1.3824E+01  9.908E-01  1.5732E+01  1.8547E+00
  1.000  3.8122E+00  4.8061E-02 -1.4445E+01  9.948E-01  1.5856E+01  1.9037E+00
  1.100  3.8161E+00  5.0377E-02 -1.5024E+01  9.991E-01  1.5924E+01  1.9566E+00
  1.200  3.8168E+00  5.2589E-02 -1.5562E+01  1.004E+00  1.5925E+01  2.0132E+00
  1.300  3.8137E+00  5.4712E-02 -1.6060E+01  1.009E+00  1.5854E+01  2.0734E+00
  1.400  3.8063E+00  5.6733E-02 -1.6521E+01  1.014E+00  1.5712E+01  2.1370E+00
  1.500  3.7940E+00  5.8624E-02 -1.6944E+01  1.020E+00  1.5501E+01  2.2039E+00
  1.600  3.7765E+00  6.0340E-02 -1.7332E+01  1.026E+00  1.5232E+01  2.2740E+00
  1.700  3.7534E+00  6.1830E-02 -1.7683E+01  1.032E+00  1.4919E+01  2.3472E+00
  1.800  3.7243E+00  6.3047E-02 -1.8000E+01  1.039E+00  1.4576E+01  2.4235E+00
  1.900  3.6889E+00  6.3925E-02 -1.8281E+01  1.045E+00  1.4222E+01  2.5030E+00
