 # Once                                                             FEFF 9.9.1
 # POT  SCF 100 10.0000   0, core-hole, AFOLP (folp(0)= 1.150)
 # Abs   Z=29 Rmt= 1.406 Rnm= 1.457 K  shell
 # Pot 1 Z=29 Rmt= 1.317 Rnm= 1.353
 # Gam_ch=1.729E+00 H-L exch Vi= 0.000E+00 Vr= 0.000E+00
 # Mu=-8.226E+00eV kf=2.060E+00 Vint=-1.835E+01eV Rs_int= 1.760
 # PATH  Rmax=10.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   31      icalc       2
 -----------------------------------------------------------------------
   3  96.000   6.6737    2.5596   -8.22632 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  29 Cu       absorbing atom
    -1.7550   -3.5100    5.2650  1  29 Cu    
    -1.7550   -1.7550    3.5100  1  29 Cu    
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.7430E+00  0.0000E+00 -2.2067E+00  9.724E-01  1.4380E+01  1.6316E+00
  0.100  3.7442E+00  5.9851E-03 -3.5062E+00  9.726E-01  1.4405E+01  1.6345E+00
  0.200  3.7476E+00  1.1834E-02 -4.7358E+00  9.734E-01  1.4481E+01  1.6433E+00
  0.300  3.7532E+00  1.7439E-02 -5.8969E+00  9.746E-01  1.4603E+01  1.6578E+00
  0.400  3.7605E+00  2.2738E-02 -6.9916E+00  9.763E-01  1.4763E+01  1.6779E+00
  0.500  3.7691E+00  2.7718E-02 -8.0225E+00  9.784E-01  1.4952E+01  1.7034E+00
  0.600  3.7786E+00  3.2406E-02 -8.9921E+00  9.809E-01  1.5158E+01  1.7340E+00
  0.700  3.7884E+00  3.6856E-02 -9.9030E+00  9.838E-01  1.5368E+01  1.7697E+00
  0.800  3.7977E+00  4.1124E-02 -1.0757E+01  9.871E-01  1.5564E+01  1.8100E+00
  0.900  3.8059E+00  4.5273E-02 -1.1558E+01  9.908E-01  1.5732E+01  1.8547E+00
  1.000  3.8122E+00  4.9336E-02 -1.2307E+01  9.948E-01  1.5856E+01  1.9037E+00
  1.100  3.8161E+00  5.3329E-02 -1.3006E+01  9.991E-01  1.5924E+01  1.9566E+00
  1.200  3.8168E+00  5.7246E-02 -1.3658E+01  1.004E+00  1.5925E+01  2.0132E+00
  1.300  3.8137E+00  6.1053E-02 -1.4262E+01  1.009E+00  1.5854E+01  2.0734E+00
  1.400  3.8063E+00  6.4699E-02 -1.4822E+01  1.014E+00  1.5712E+01  2.1370E+00
  1.500  3.7940E+00  6.8114E-02 -1.5339E+01  1.020E+00  1.5501E+01  2.2039E+00
  1.600  3.7765E+00  7.1217E-02 -1.5812E+01  1.026E+00  1.5232E+01  2.2740E+00
